5.000000000000000000e+01,9.985590778097982456e-01
1.000000000000000000e+02,9.798270893371757717e-01
1.500000000000000000e+02,9.587896253602306018e-01
2.000000000000000000e+02,9.605187319884725961e-01
2.500000000000000000e+02,9.916426512968299356e-01
3.000000000000000000e+02,9.440922190201729292e-01
3.500000000000000000e+02,8.397694524495676882e-01
4.000000000000000000e+02,7.092219020172910726e-01
4.500000000000000000e+02,5.573487031700288252e-01
5.000000000000000000e+02,4.135446685878962358e-01
5.500000000000000000e+02,2.855907780979827226e-01
6.000000000000000000e+02,1.564841498559077781e-01
6.500000000000000000e+02,2.795389048991354583e-02
7.000000000000000000e+02,0.000000000000000000e+00
7.500000000000000000e+02,0.000000000000000000e+00
