5.000000000000000000e+01,9.166666666666666297e-01
1.000000000000000000e+02,7.524271844660194164e-01
1.500000000000000000e+02,5.513754045307442953e-01
2.000000000000000000e+02,3.996763754045307704e-01
2.500000000000000000e+02,2.953074433656958098e-01
3.000000000000000000e+02,2.200647249190938459e-01
3.500000000000000000e+02,1.561488673139158623e-01
4.000000000000000000e+02,9.870550161812297052e-02
4.500000000000000000e+02,5.218446601941747337e-02
5.000000000000000000e+02,1.254045307443365717e-02
5.500000000000000000e+02,0.000000000000000000e+00
6.000000000000000000e+02,0.000000000000000000e+00
6.500000000000000000e+02,0.000000000000000000e+00
7.000000000000000000e+02,0.000000000000000000e+00
7.500000000000000000e+02,0.000000000000000000e+00
