5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+00
1.500000000000000000e+02,9.719073435189748977e-01
2.000000000000000000e+02,8.521439132577623976e-01
2.500000000000000000e+02,6.774273040906850785e-01
3.000000000000000000e+02,5.635781172991621846e-01
3.500000000000000000e+02,4.418432725480532230e-01
4.000000000000000000e+02,3.477082306554953317e-01
4.500000000000000000e+02,2.676195170034499915e-01
5.000000000000000000e+02,1.880236569738787666e-01
5.500000000000000000e+02,1.020206998521439173e-01
6.000000000000000000e+02,3.696402168555938672e-02
6.500000000000000000e+02,2.464268112370625752e-03
7.000000000000000000e+02,0.000000000000000000e+00
7.500000000000000000e+02,0.000000000000000000e+00
